,G,RES,SA
0,"(0.7018811394002034, 'POS')","(0.40924544810779045, 'POS')","(-0.1447065576923077, 'NTR')"
1,"(-0.8513776680513344, 'VN')","(-0.886029401056918, 'NEG')","(-0.33557869230769233, 'SN')"
2,"(-0.8991012206508773, 'VN')","(-0.753897771854757, 'NEG')","(-0.39866173214285716, 'SN')"
3,"(0.367751950312111, 'SP')","(0.25189069383587576, 'POS')","(0.13743509999999998, 'NTR')"
4,"(0.14623219466011733, 'NTR')","(0.04282439056027565, 'NTR')","(0.08597859375, 'NTR')"
5,"(-0.1905336936571371, 'NTR')","(0.11116403753142426, 'NTR')","(0.19336449666666666, 'NTR')"
6,"(0.2872731689815055, 'SP')","(-0.222308509081268, 'NTR')","(0.08046881538461538, 'NTR')"
7,"(0.9658278363699436, 'VP')","(-0.9273538591665699, 'NEG')","(-0.21047630769230766, 'SN')"
8,"(-0.8123419647774242, 'VN')","(0.9335981500171932, 'POS')","(-0.02925609736842106, 'NTR')"
9,"(-0.3078278038498115, 'SN')","(0.1474068106664185, 'NTR')","(-0.01165222727272728, 'NTR')"
10,"(0.10432808515486466, 'NTR')","(0.04282439056027565, 'NTR')","(0.10271566666666668, 'NTR')"
11,"(0.48526561953644515, 'SP')","(0.16064814736477961, 'NTR')","(-0.17792589687500002, 'NTR')"
12,"(-0.4002807631833294, 'SN')","(-0.753897771854757, 'NEG')","(-0.1480882, 'NTR')"
13,"(-0.9999424013650364, 'VN')","(-0.9273538591665699, 'NEG')","(-0.31355661785714284, 'SN')"
14,"(0.5287862126635763, 'POS')","(-0.9273538591665699, 'NEG')","(-0.1218925, 'NTR')"
15,"(0.49112984213563693, 'SP')","(-0.13985257510674245, 'NTR')","(-0.43060049999999994, 'SN')"
16,"(-0.012853837475823658, 'NTR')","(-0.011250548875261885, 'NTR')","(-0.15476975000000004, 'NTR')"
17,"(0.5899861061974444, 'POS')","(-0.13985257510674245, 'NTR')","(-0.33681763164374995, 'SN')"
18,"(0.8236884318047222, 'VP')","(0.40924544810779045, 'POS')","(-0.22657722142857145, 'SN')"
